Document No.,Amount
OPENSA_0181_1,5445.64
OPENSA_0182_1,5445.64
OPENSA_0183_1,5441.28
OPENSA_0184_1,5441.28
OPENSA_0185_1,-745.8
OPENSA_0186_1,-739.2
OPENSA_0187_1,-748.8
OPENSA_0188_1,-751.8
OPENSA_0189_1,-749.4
OPENSA_0190_1,-749.4
OPENSA_0191_1,-748.8
OPENSA_0192_1,-748.8
OPENSA_0193_1,1800.0
OPENSA_0194_1,2400.0
OPENSA_0195_1,972894.0
OPENSA_0196_1,34836.0
OPENSA_0197_1,2301.0
OPENSA_0198_1,10240.0
OPENSA_0199_1,29700.0
OPENSA_0200_1,2537.64
OPENSA_0201_1,2483.58
OPENSA_0202_1,10232.0
OPENSA_0203_1,4993.56
OPENSA_0204_1,600.0
OPENSA_0205_1,420.0
OPENSA_0206_1,324.0
OPENSA_0207_1,300.0
OPENSA_0208_1,27939.25
OPENSA_0209_1,17774.8
OPENSA_0210_1,18544.4
OPENSA_0211_1,-88.8
OPENSA_0212_1,18677.6
OPENSA_0213_1,4345.2
OPENSA_0214_1,324.0
OPENSA_0215_1,3989.37
OPENSA_0216_1,4030.19
OPENSA_0217_1,300.0
OPENSA_0218_1,5539.6
OPENSA_0219_1,300.0
OPENSA_0220_1,15746.76
OPENSA_0221_1,300.0
OPENSA_0222_1,6264.72
OPENSA_0223_1,12463.92
OPENSA_0224_1,6441.12
OPENSA_0225_1,7080.66
OPENSA_0226_1,6431.04
OPENSA_0227_1,31777.2
OPENSA_0228_1,21496.68
OPENSA_0229_1,6042.96
OPENSA_0230_1,888.0
OPENSA_0231_1,330.0
OPENSA_0232_1,300.0
OPENSA_0233_1,1500.0
OPENSA_0234_1,612.0
OPENSA_0235_1,900.0
OPENSA_0236_1,900.0
OPENSA_0237_1,300.0
OPENSA_0238_1,288.0
OPENSA_0239_1,459435.0
OPENSA_0240_1,9966466.0
OPENSA_0241_1,5645262.0
OPENSA_0242_1,4264250.0
OPENSA_0243_1,2695402.0
OPENSA_0244_1,650352.0
OPENSA_0245_1,2054728.0
OPENSA_0246_1,7742834.0
OPENSA_0247_1,1704950.0
OPENSA_0248_1,1723.8
OPENSA_0249_1,5359.12
OPENSA_0250_1,1879.2
OPENSA_0251_1,1922.7
OPENSA_0252_1,1988.8
OPENSA_0253_1,25270.0
OPENSA_0254_1,2150.5
OPENSA_0255_1,10226.0
OPENSA_0256_1,1912.8
OPENSA_0257_1,947.2
OPENSA_0258_1,1336.08
OPENSA_0260_1,-171424.27
OPENSA_0261_1,-171254.44
OPENSA_0262_1,-171147.12
OPENSA_0263_1,892754.1
OPENSA_0264_1,783296.05
OPENSA_0265_1,-102239.07
OPENSA_0266_1,839407.0
OPENSA_0267_1,488188.0
OPENSA_0268_1,160147.0
OPENSA_0269_1,4093299.0
OPENSA_0270_1,4086162.0
OPENSA_0271_1,4107574.0
OPENSA_0272_1,3704844.0
OPENSA_0273_1,1640651.0
OPENSA_0274_1,1409903.0
OPENSA_0275_1,2749487.0
OPENSA_0276_1,1239266.0
OPENSA_0277_1,1389317.0
OPENSA_0278_1,8236991.0
OPENSA_0279_1,2685796.0
OPENSA_0280_1,12270943.0
OPENSA_0281_1,8098098.0
OPENSA_0282_1,1147953.0
OPENSA_0283_1,5529.2
OPENSA_0284_1,5533.8
OPENSA_0285_1,-72.18
OPENSA_0286_1,288.0
OPENSA_0287_1,288.0
OPENSA_0288_1,348.0
OPENSA_0289_1,4703.4
OPENSA_0291_1,7969.0
OPENSA_0292_1,7442.71
OPENSA_0293_1,14786.1
OPENSA_0294_1,14716.0
OPENSA_0295_1,762.0
OPENSA_0296_1,762.0
OPENSA_0297_1,96000.0
OPENSA_0298_1,92000.0
OPENSA_0299_1,68000.0
OPENSA_0300_1,78579.2
OPENSA_0301_1,15398.4
OPENSA_0302_1,13975.92
OPENSA_0303_1,7219.2
OPENSA_0304_1,13998.48
OPENSA_0305_1,7174.08
OPENSA_0306_1,258416.06
OPENSA_0307_1,39522.14
OPENSA_0308_1,9440.0
OPENSA_0309_1,1095.0
OPENSA_0310_1,1155.0
OPENSA_0311_1,4425.0
OPENSA_0312_1,180975.0
OPENSA_0313_1,876300.0
OPENSA_0314_1,134366.0
OPENSA_0315_1,2931516.0
OPENSA_0316_1,2892298.0
OPENSA_0317_1,2446706.0
OPENSA_0318_1,3625075.0
OPENSA_0319_1,5961075.0
OPENSA_0320_1,5892444.0
OPENSA_0321_1,2124666.0
OPENSA_0322_1,6005195.0
OPENSA_0323_1,2408568.0
OPENSA_0324_1,6093435.0
OPENSA_0325_1,3582048.0
OPENSA_0326_1,1140676.0
OPENSA_0327_1,5801754.0
OPENSA_0328_1,939222.0
OPENSA_0329_1,898931.0
OPENSA_0330_1,15326.4
OPENSA_0331_1,15202.8
OPENSA_0333_1,7176.0
OPENSA_0334_1,735.0
OPENSA_0335_1,375.0
OPENSA_0336_1,1200.0
OPENSA_0337_1,1125.0
OPENSA_0338_1,405.0
OPENSA_0339_1,21973.0
OPENSA_0340_1,28719.0
OPENSA_0341_1,12882.0
OPENSA_0342_1,10311.0
OPENSA_0343_1,25928.0
OPENSA_0344_1,29824.0
OPENSA_0345_1,21886.0
OPENSA_0346_1,1108862.0
OPENSA_0347_1,1100226.0
OPENSA_0348_1,894086.08
OPENSA_0349_1,783375.29
OPENSA_0350_1,-109947.99
OPENSA_0351_1,-110796.64
OPENSA_0352_1,-110546.81
OPENSA_0353_1,19702.8
OPENSA_0354_1,19698.8
OPENSA_0355_1,4743.76
OPENSA_0356_1,930.92
OPENSA_0357_1,2765.38
OPENSA_0358_1,1869.24
OPENSA_0359_1,927.22
OPENSA_0360_1,912.0
OPENSA_0361_1,8429333.0
OPENSA_0362_1,793877.0
OPENSA_0363_1,5926760.0
OPENSA_0364_1,2065528.0
OPENSA_0365_1,3051620.0
OPENSA_0366_1,2140934.0
OPENSA_0367_1,2995244.0
OPENSA_0368_1,713042.0
OPENSA_0369_1,11552034.0
OPENSA_0370_1,2090564.0
OPENSA_0371_1,8833764.0
OPENSA_0372_1,1328960.0
OPENSA_0373_1,5738025.0
OPENSA_0374_1,1328357.0
OPENSA_0375_1,5902249.0
OPENSA_0376_1,1409795.0
OPENSA_0377_1,6061570.0
OPENSA_0378_1,2342693.0
OPENSA_0379_1,1132942.0
OPENSA_0380_1,7151.2
OPENSA_0381_1,1125.0
OPENSA_0382_1,345.0
OPENSA_0383_1,252.0
OPENSA_0384_1,1215.0
OPENSA_0385_1,1205.0
OPENSA_0386_1,3948.7
OPENSA_0387_1,4344.2
OPENSA_0388_1,4180.4
OPENSA_0389_1,3675888.0
OPENSA_0390_1,271.34
OPENSA_0391_1,-1483.24
OPENSA_0392_1,3064905.0
OPENSA_0393_1,3188307.0
OPENSA_0394_1,106075.2
OPENSA_0395_1,19360.2
OPENSA_0396_1,-3339.0
OPENSA_0397_1,20160.0
OPENSA_0398_1,-7724.16
OPENSA_0399_1,-2607.36
OPENSA_0400_1,4406.4
OPENSA_0401_1,7303.68
OPENSA_0402_1,705.0
OPENSA_0403_1,420.0
OPENSA_0404_1,300.0
OPENSA_0405_1,600.0
OPENSA_0406_1,4504.5
OPENSA_0407_1,2625.0
OPENSA_0408_1,688489.8
OPENSA_0409_1,18306.54
OPENSA_0410_1,18259.56
OPENSA_0411_1,15151.5
OPENSA_0412_1,15184.0
OPENSA_0413_1,15210.0
OPENSA_0414_1,18063.81
OPENSA_0415_1,18330.03
OPENSA_0416_1,15210.0
OPENSA_0417_1,18259.56
OPENSA_0418_1,19641.5
OPENSA_0419_1,21672.0
OPENSA_0420_1,9816338.0
OPENSA_0421_1,9598978.0
OPENSA_0422_1,10319068.0
OPENSA_0423_1,9219819.0
OPENSA_0424_1,5508.8
OPENSA_0425_1,600.0
OPENSA_0426_1,300.0
OPENSA_0427_1,300.0
OPENSA_0428_1,1591.1
OPENSA_0429_1,56299.1
OPENSA_0430_1,55600.6
OPENSA_0431_1,32664.4
OPENSA_0432_1,32061.15
OPENSA_0433_1,31965.9
OPENSA_0434_1,9201.15
OPENSA_0435_1,9982.2
OPENSA_0436_1,548.64
OPENSA_0437_1,4617.72
OPENSA_0438_1,8260.08
OPENSA_0439_1,3148.2
OPENSA_0440_1,9208.32
OPENSA_0441_1,695084.55
OPENSA_0442_1,28432.5
OPENSA_0443_1,528.0
OPENSA_0444_1,-1648.61
OPENSA_0445_1,2347.2
OPENSA_0446_1,6025904.0
OPENSA_0447_1,3118691.0
OPENSA_0448_1,5810220.0
OPENSA_0449_1,146050.0
OPENSA_0450_1,2952077.0
OPENSA_0451_1,114503.0
OPENSA_0452_1,2941780.0
OPENSA_0453_1,2987482.0
OPENSA_0454_1,848267.26
OPENSA_0455_1,940.0
OPENSA_0456_1,-108986.76
OPENSA_0457_1,438150.0
OPENSA_0458_1,19054.8
OPENSA_0459_1,5116.8
OPENSA_0460_1,5120.9
OPENSA_0461_1,5120.9
OPENSA_0462_1,5161.9
OPENSA_0463_1,5034.8
OPENSA_0464_1,4891.3
OPENSA_0465_1,4887.2
OPENSA_0466_1,19086.4
OPENSA_0467_1,1998.4
OPENSA_0468_1,5012.0
OPENSA_0469_1,5008.0
OPENSA_0470_1,17553.6
OPENSA_0471_1,4992.0
OPENSA_0472_1,1998.4
OPENSA_0473_1,4915.9
OPENSA_0474_1,18308.4
OPENSA_0475_1,4992.0
OPENSA_0476_1,4992.0
OPENSA_0477_1,4992.0
OPENSA_0478_1,4755.96
OPENSA_0479_1,4957.92
OPENSA_0480_1,1996.8
OPENSA_0481_1,17914.2
OPENSA_0482_1,4787.64
OPENSA_0483_1,17578.4
OPENSA_0484_1,1960.0
OPENSA_0485_1,17490.8
OPENSA_0486_1,4668.84
OPENSA_0487_1,1956.8
OPENSA_0488_1,324.0
OPENSA_0489_1,456.0
OPENSA_0490_1,19152.9
OPENSA_0491_1,9075.36
OPENSA_0492_1,47893.2
OPENSA_0493_1,20679.6
OPENSA_0494_1,37713.0
OPENSA_0495_1,3054.0
OPENSA_0496_1,44971.2
OPENSA_0497_1,2948.4
OPENSA_0498_1,300.0
OPENSA_0499_1,1476.0
OPENSA_0500_1,1200.0
OPENSA_0501_1,-190167.57
OPENSA_0502_1,-199020.24
OPENSA_0503_1,-91.0
OPENSA_0504_1,1008644.42
OPENSA_0505_1,818434.62
OPENSA_0506_1,-190091.32
OPENSA_0507_1,-192546.73
OPENSA_0508_1,11846.4
OPENSA_0509_1,1029159.9
OPENSA_0510_1,1029626.95
OPENSA_0511_1,-111125.36
OPENSA_0512_1,-109475.22
OPENSA_0513_1,-122947.75
OPENSA_0514_1,-123003.55
OPENSA_0515_1,2315604.0
OPENSA_0516_1,1341349.0
OPENSA_0517_1,3526384.0
OPENSA_0518_1,2406129.0
OPENSA_0519_1,1099680.0
OPENSA_0520_1,2363953.0
OPENSA_0521_1,3183877.0
OPENSA_0522_1,5490070.0
OPENSA_0523_1,9850209.0
OPENSA_0524_1,19859793.0
OPENSA_0525_1,19451930.0
OPENSA_0526_1,9647530.0
OPENSA_0527_1,30472075.0
OPENSA_0528_1,18871509.0
OPENSA_0529_1,8403610.0
OPENSA_0530_1,17425030.0
OPENSA_0531_1,26706210.0
OPENSA_0532_1,8761659.0
OPENSA_0535_1,-212304.54
OPENSA_0536_1,-212190.91
OPENSA_0537_1,-212604.2
OPENSA_0538_1,-212331.44
OPENSA_0539_1,1032365.66
OPENSA_0540_1,1016988.39
OPENSA_0541_1,894034.0
OPENSA_0542_1,-157568.21
OPENSA_0543_1,-140846.92
OPENSA_0544_1,891977.3
OPENSA_0545_1,12039987.0
OPENSA_0546_1,43306023.0
OPENSA_0547_1,2755944.0
OPENSA_0548_1,31415893.0
OPENSA_0549_1,57671120.0
OPENSA_0550_1,31474430.0
OPENSA_0551_1,2543061.0
OPENSA_0552_1,320626.31
OPENSA_0553_1,-13008.87
OPENSA_0490_2,-19152.9
OPENSA_0491_2,-9075.36
OPENSA_0492_2,-47893.2
OPENSA_0493_2,-20679.6
OPENSA_0494_2,-37713.0
OPENSA_0495_2,-3054.0
OPENSA_0496_2,-44971.2
OPENSA_0497_2,-2948.4
OPENSA_0498_2,-300.0
OPENSA_0499_2,-1476.0
OPENSA_0500_2,-1200.0
OPENSA_0442_2,-28432.5
OPENSA_0443_2,-528.0
OPENSA_0554_1,19152.9
OPENSA_0555_1,9075.36
OPENSA_0556_1,47893.2
OPENSA_0557_1,20679.6
OPENSA_0558_1,37713.0
OPENSA_0559_1,3054.0
OPENSA_0560_1,44971.2
OPENSA_0561_1,2948.4
OPENSA_0562_1,300.0
OPENSA_0563_1,1476.0
OPENSA_0564_1,1200.0
OPENSA_0565_1,28432.5
OPENSA_0566_1,528.0
OPENLA_2461_1,2109927.0
OPENLA_2462_1,1636481.0
OPENLA_2463_1,1643328.0
OPENLA_2464_1,60037618.0
OPENLA_2465_1,25087873.0
OPENLA_2466_1,40768943.0
OPENLA_2467_1,5171987.0
OPENLA_2468_1,1940148.0
OPENLA_2469_1,1807705.0
OPENLA_2470_1,6866465.0
OPENLA_2471_1,4057477.0
OPENLA_2472_1,1533275.0
OPENLA_2473_1,571421.0
OPENLA_2474_1,5480688.0
OPENLA_2475_1,1231926.0
OPENLA_2477_1,2286162.0
OPENLA_2478_1,2783390.0
OPENLA_2479_1,463130.0
OPENLA_2480_1,2334389.0
OPENLA_2481_1,902123.0
OPENLA_2482_1,6145443.0
OPENLA_2483_1,-27521.0
OPENLA_2484_1,1659128.0
OPENLA_2485_1,3516013.0
OPENLA_2486_1,5852079.0
OPENLA_2487_1,2730542.0
OPENLA_2492_1,92255246.0
OPENLA_2493_1,101610482.0
OPENLA_2494_1,110536387.0
OPENLA_2495_1,30003895.0
OPENLA_2496_1,7697693.0
OPENLA_2497_1,2746885.0
OPENLA_2498_1,340093614.0
OPENLA_2499_1,-41464233.0
OPENLA_2500_1,-995568.0
OPENLA_2501_1,1499203.0
OPENLA_2502_1,1769794.0
OPENLA_2503_1,19268694.0
OPENLA_2504_1,7146879.0
OPENLA_2505_1,4405112.0
OPENLA_2506_1,324945739.0
OPENLA_2507_1,532969969.0
OPENLA_2508_1,371840087.0
OPENLA_2509_1,6012587.0
OPENLA_2510_1,6963466.0
OPENLA_2511_1,341210617.0
OPENLA_2512_1,1719953.0
OPENLA_2513_1,2382619.0
OPENLA_2514_1,1538848.0
OPENLA_2515_1,607529.0
OPENLA_2516_1,-39075773.0
OPENLA_2517_1,232737779.0
OPENLA_2518_1,2742093.0
OPENLA_2519_1,5884037.0
OPENLA_2520_1,340857715.0
OPENLA_2521_1,13388869.0
OPENLA_2522_1,884367.0
OPENLA_2523_1,7127355.0
OPENLA_2524_1,1683774.0
OPENLA_2525_1,5809294.0
OPENLA_2526_1,394240283.0
OPENLA_2527_1,-47097595.0
OPENLA_2528_1,36602997.0
OPENLA_2529_1,43238250.0
OPENLA_2530_1,69181200.0
OPENLA_2534_1,2116792.0
OPENLA_2535_1,2105023.0
OPENLA_2536_1,657250.0
OPENLA_2537_1,2043325.0
OPENLA_2538_1,716502.0
OPENLA_2539_1,4911648.0
OPENLA_2540_1,7280313.0
OPENLA_2541_1,3931378.0
OPENLA_2542_1,10738172.0
OPENLA_2543_1,381011579.0
OPENLA_2544_1,4542384.0
OPENLA_2545_1,393523420.0
OPENLA_2546_1,6648883.0
OPENLA_2547_1,1812929.0
OPENLA_2548_1,2153827.0
OPENLA_2550_1,22412657.0
OPENLA_2551_1,16399522.0
OPENLA_2552_1,18912956.0
OPENLA_2553_1,2056384.0
OPENLA_2554_1,98671004.0
OPENLA_2555_1,8281305.0
OPENLA_2556_1,15102201.0
OPENLA_2557_1,3607213.0
OPENLA_2558_1,298293643.0
OPENLA_2559_1,-41977178.0
OPENLA_2560_1,-47011957.0
OPENLA_2561_1,5712873.0
OPENLA_2562_1,12213248.0
OPENLA_2563_1,298263470.0
OPENLA_2564_1,6992109.0
OPENLA_2565_1,7122962.0
OPENLA_2566_1,8333440.0
OPENLA_2568_1,7528834.0
OPENLA_2569_1,406031691.0
OPENLA_2570_1,-101773913.0
OPENLA_2571_1,3909940.0
OPENLA_2572_1,11340352.0
OPENLA_2573_1,968948.0
OPENLA_2574_1,7131668.0
OPENLA_2576_1,3223106.0
OPENLA_2577_1,7397920.0
OPENLA_2579_1,738971.0
OPENLA_2580_1,1669650.0
OPENLA_2581_1,764375.0
OPENLA_2582_1,9965167.0
OPENLA_2583_1,9712272.0
OPENLA_2584_1,9153825.0
OPENLA_2585_1,5756103.0
OPENLA_2586_1,8208077.0
OPENLA_2587_1,2307383.0
OPENLA_2588_1,12564679.0
OPENLA_2589_1,348529747.0
OPENLA_2590_1,-40268277.0
OPENLA_2591_1,361296416.0
OPENLA_2592_1,949025.0
OPENLA_2593_1,3909851.0
OPENLA_2594_1,1908139.0
OPENLA_2595_1,-41954690.0
OPENLA_2596_1,486018697.0
OPENLA_2597_1,309381477.0
OPENLA_2598_1,5779040.0
OPENLA_2599_1,6863345.0
OPENLA_2600_1,821125.0
OPENLA_2601_1,3904594.0
OPENLA_2602_1,1596202.0
OPENLA_2603_1,9258400.0
OPENLA_2604_1,11387700.0
OPENLA_2605_1,730364.0
OPENLA_2606_1,361669.0
OPENLA_2607_1,380426607.0
OPENLA_2608_1,-44176136.0
OPENLA_2609_1,302357270.0
OPENLA_2610_1,6968528.0
OPENLA_2611_1,8363081.0
OPENLA_2612_1,510543.0
OPENLA_2613_1,5819194.0
OPENLA_2614_1,6985377.0
OPENLA_2615_1,2088076.0
OPENLA_2616_1,2088076.0
OPENLA_2617_1,-287350.0
OPENLA_2618_1,-287350.0
OPENLA_2619_1,7228438.0
OPENLA_2620_1,1941058.0
OPENLA_2621_1,1949885.0
OPENLA_2622_1,1949885.0
OPENLA_2623_1,1965497.0
OPENLA_2624_1,1917101.0
OPENLA_2625_1,1862460.0
OPENLA_2626_1,1860899.0
OPENLA_2627_1,2077644.0
OPENLA_2628_1,-285914.0
OPENLA_2629_1,2077644.0
OPENLA_2630_1,-285914.0
OPENLA_2631_1,7301693.0
OPENLA_2632_1,759172.0
OPENLA_2633_1,1904009.0
OPENLA_2634_1,1902489.0
OPENLA_2635_1,6668437.0
OPENLA_2636_1,1896411.0
OPENLA_2637_1,759172.0
OPENLA_2638_1,1867501.0
OPENLA_2639_1,190649020.0
OPENLA_2640_1,118243003.0
OPENLA_2641_1,7013399.0
OPENLA_2642_1,1912285.0
OPENLA_2643_1,1912285.0
OPENLA_2644_1,1912285.0
OPENLA_2645_1,1821866.0
OPENLA_2646_1,1899230.0
OPENLA_2647_1,763177.0
OPENLA_2648_1,6846807.0
OPENLA_2649_1,1829836.0
OPENLA_2650_1,83765502.0
OPENLA_2651_1,-83765502.0
OPENLA_2652_1,78795264.0
OPENLA_2653_1,83765502.0
OPENLA_2654_1,6711960.0
OPENLA_2655_1,748406.0
OPENLA_2656_1,6678687.0
OPENLA_2657_1,1782750.0
OPENLA_2658_1,749024.0
OPENLA_2659_1,3475736.0
OPENLA_2660_1,2408568.0
OPENLA_2661_1,1145743.0
OPENLA_2662_1,10029952.0
OPENLA_2663_1,3257499.0
OPENLA_2664_1,3156204.0
OPENLA_2665_1,2241906.0
OPENLA_2666_1,1101954.0
OPENLA_2667_1,9858248.0
OPENLA_2668_1,9669272.0
OPENLA_2669_1,3526384.0
OPENLA_2670_1,459435.0
OPENLA_2671_1,11965305.0
OPENLA_2672_1,756818.0
OPENLA_2673_1,3285033.0
OPENLA_2674_1,2694635.0
OPENLA_2675_1,6462400.0
OPENLA_2676_1,1174062.0
OPENLA_2677_1,1144250.0
OPENLA_2678_1,906272.0
OPENLA_2679_1,12039987.0
OPENLA_2680_1,4086162.0
OPENLA_2681_1,3756233.0
OPENLA_2682_1,2821678.0
OPENLA_2683_1,3057754.0
OPENLA_2684_1,19859793.0
OPENLA_2685_1,6121781.0
OPENLA_2686_1,-3021076.0
OPENLA_2687_1,609234.0
OPENLA_2688_1,733171.0
OPENLA_2689_1,9509760.0
OPENLA_2690_1,9789693.0
OPENLA_2691_1,3106967.0
OPENLA_2692_1,9596392.0
OPENLA_2693_1,3242607.0
OPENLA_2694_1,9349475.0
OPENLA_2695_1,2935567.0
OPENLA_2696_1,2880995.0
OPENLA_2697_1,919453.0
OPENLA_2698_1,2971358.0
OPENLA_2699_1,6025904.0
OPENLA_2700_1,-2935567.0
OPENLA_2701_1,2941780.0
OPENLA_2702_1,8833764.0
OPENLA_2703_1,2484496.0
OPENLA_2704_1,6005195.0
OPENLA_2705_1,7428078.0
OPENLA_2706_1,1328960.0
OPENLA_2707_1,13837487.0
OPENLA_2708_1,267366013.0
OPENLA_2709_1,2342693.0
OPENLA_2710_1,3183877.0
OPENLA_2711_1,114503.0
OPENLA_2712_1,3582048.0
OPENLA_2713_1,10184384.0
OPENLA_2714_1,1140676.0
OPENLA_2715_1,452679.0
OPENLA_2716_1,1108862.0
OPENLA_2717_1,1100226.0
OPENLA_2718_1,9850209.0
OPENLA_2719_1,2406129.0
OPENLA_2720_1,2398395.0
OPENLA_2721_1,10554919.0
OPENLA_2722_1,1099680.0
OPENLA_2723_1,1132942.0
OPENLA_2724_1,3052877.0
OPENLA_2725_1,12451861.0
OPENLA_2726_1,43306023.0
OPENLA_2727_1,2685796.0
OPENLA_2728_1,2755944.0
OPENLA_2729_1,5652897.0
OPENLA_2730_1,12270943.0
OPENLA_2731_1,492455.0
OPENLA_2732_1,2760663.0
OPENLA_2733_1,4107574.0
OPENLA_2734_1,4962243.0
OPENLA_2735_1,8736787.0
OPENLA_2736_1,2906573.0
OPENLA_2737_1,3027821.0
OPENLA_2738_1,19451930.0
OPENLA_2739_1,2827858.0
OPENLA_2740_1,9647530.0
OPENLA_2741_1,4376605.0
OPENLA_2742_1,4951186.0
OPENLA_2743_1,3358926.0
